feature,coefficient,odds_ratio_per_SD
Glucose,1.0237797610916772,2.783696612368801
BMI,0.598791158414515,1.8199174782038696
Pregnancies,0.3206303594820909,1.3779961235407325
DiabetesPedigreeFunction,0.2556823110104793,1.2913424174998596
Age,0.1890670516688829,1.208121956360537
SkinThickness,0.0590178226546042,1.0607941467393645
BloodPressure,0.01736336725832134,1.0175149867902427
Insulin,0.016245550631582145,1.0163782270828694
