feature,importance_mean,importance_std
Glucose,0.1490740740740741,0.028501798850649913
BMI,0.026141975308642033,0.014886407517979035
Pregnancies,0.02500617283950622,0.009557120569196055
DiabetesPedigreeFunction,0.011283950617283989,0.007101867277227166
Age,0.006709876543209907,0.004858934452910448
Insulin,0.0009135802469136219,0.0005932352482337796
SkinThickness,0.00045679012345681465,0.0014587243907063043
BloodPressure,-0.00012345679012342551,0.0006818124084683506
