selected,model,origin,cv_auc_untuned,cv_auc_mean,cv_auc_std,cv_accuracy,cv_recall,cv_f1,best_params,complexity,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
False,Extra Trees,notebook,0.8229007475083057,0.8495708748615727,0.017681111901067036,0.7622151139544182,0.3973421926910299,0.5380223396088019,"{""n_estimators"": 600, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": 6}",4,0.7207792207792207,0.6774193548387096,0.3888888888888889,0.49411764705882355,0.8109259259259258,0.6795564678340764,0.17761608874829518
False,SVM (RBF/Linear),extension,0.8333084163898116,0.8492704872646734,0.009523179336074265,0.7622017859522858,0.7150609080841639,0.6775039049528366,"{""C"": 1, ""class_weight"": ""balanced"", ""gamma"": 0.01, ""kernel"": ""rbf""}",3,0.7077922077922078,0.6,0.5,0.5454545454545454,0.8096296296296296,0.6920729071876521,0.17171746270924607
False,Soft-Voting Ensemble,extension,,0.8482405869324474,0.011857613180561126,,,,"top-3: Extra Trees, SVM (RBF/Linear), Logistic Regression",6,0.7272727272727273,0.62,0.5740740740740741,0.5961538461538461,0.8125925925925925,0.6828033769319575,0.16949857913157554
True,Logistic Regression,baseline,0.8433637873754153,0.8449944629014396,0.013034589339469911,0.7671064907370384,0.7198228128460686,0.682340495670685,"{""C"": 0.1, ""class_weight"": ""balanced"", ""solver"": ""lbfgs""}",1,0.7077922077922078,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.8103703703703704,0.66525050246563,0.18105209237351394
False,MLP (small NN),extension,0.8027048726467332,0.8411351052048726,0.016630080279580982,0.7605491136878582,0.5978959025470653,0.6348917096775113,"{""alpha"": 0.01, ""hidden_layer_sizes"": ""(16, 8)"", ""learning_rate_init"": 0.01}",4,0.7337662337662337,0.6181818181818182,0.6296296296296297,0.6238532110091743,0.8127777777777778,0.6584667312879369,0.17010708525554386
False,Random Forest,baseline,0.8162569213732004,0.8406215393133998,0.01671428712671723,0.773610555777689,0.5516057585825028,0.6293611650256516,"{""n_estimators"": 400, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": 4, ""class_weight"": null}",4,0.7272727272727273,0.65,0.48148148148148145,0.5531914893617021,0.8088888888888889,0.6724068397680821,0.1690680882074045
False,XGBoost,extension,0.7833568660022149,0.8405094130675526,0.016255672366255185,0.7703585232573638,0.5749723145071982,0.6356760374832664,"{""subsample"": 0.7, ""reg_lambda"": 1, ""n_estimators"": 100, ""max_depth"": 2, ""learning_rate"": 0.05, ""colsample_bytree"": 0.7}",5,0.7402597402597403,0.6666666666666666,0.5185185185185185,0.5833333333333334,0.8171296296296295,0.6863113146505463,0.16603297312586796
False,Gradient Boosting,extension,0.8193397009966776,0.837703488372093,0.018885865240837605,0.7784886045581766,0.5702104097452935,0.6423532654848765,"{""subsample"": 0.7, ""n_estimators"": 300, ""min_samples_leaf"": 5, ""max_depth"": 2, ""learning_rate"": 0.01}",5,0.7272727272727273,0.6428571428571429,0.5,0.5625,0.8131481481481482,0.6619824398695363,0.16859821986811918
False,HistGradientBoosting,extension,0.8003626799557031,0.8337915282392027,0.021129556679513824,0.7670798347327736,0.5891472868217054,0.6380844099913867,"{""min_samples_leaf"": 30, ""max_leaf_nodes"": 7, ""max_iter"": 200, ""max_depth"": 2, ""learning_rate"": 0.05, ""l2_regularization"": 1.0}",5,0.7597402597402597,0.673469387755102,0.6111111111111112,0.6407766990291263,0.8251851851851851,0.7046621669599004,0.1631340897931034
False,k-Nearest Neighbours,notebook,0.7843320874861572,0.8336620985603543,0.035193884041064945,0.7524057043849126,0.5190476190476191,0.5940260306667111,"{""n_neighbors"": 21, ""p"": 2, ""weights"": ""distance""}",3,0.7532467532467533,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.8124074074074075,0.7172037583781885,0.16660308285474207
False,AdaBoost,notebook,0.8184426910299003,0.8307045957918051,0.01956013737435901,0.7736238837798215,0.5749723145071982,0.6385526848159067,"{""learning_rate"": 0.5, ""n_estimators"": 200}",5,0.7337662337662337,0.6511627906976745,0.5185185185185185,0.5773195876288659,0.8178703703703704,0.6559457685882252,0.19411273700599319
False,Decision Tree,baseline,0.6510063676633444,0.7956215393133996,0.020288930753835227,0.6969878715180594,0.8368770764119601,0.6578836519024442,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",2,0.6753246753246753,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.7621296296296296,0.5669466916579046,0.20080770826888222
